Emily	1028	1.498
Sarah	937	1.366
Nicole	855	1.246
Jessica	819	1.194
Amanda	809	1.179
Lauren	730	1.064
Rachel	684	0.997
Samantha	661	0.963
Ashley	653	0.952
Katie	624	0.91
Danielle	543	0.791
Stephanie	519	0.756
Taylor	503	0.733
Megan	464	0.676
Michelle	454	0.662
Alyssa	441	0.643
Kelly	417	0.608
Hannah	414	0.603
Julia	399	0.582
Melissa	396	0.577
Victoria	393	0.573
Emma	391	0.57
Brittany	379	0.552
Laura	366	0.533
Jennifer	362	0.528
Christina	361	0.526
Olivia	341	0.497
Sara	333	0.485
Erin	329	0.48
Rebecca	318	0.463
Courtney	308	0.449
Kayla	305	0.445
Anna	302	0.44
Shannon	296	0.431
Jenna	292	0.426
Alex	272	0.396
Alexandra	271	0.395
Elizabeth	270	0.394
Alexa	265	0.386
Maria	260	0.379
Brianna	257	0.375
Caroline	252	0.367
Sam	251	0.366
Mary	250	0.364
Chelsea	249	0.363
Kristen	244	0.356
Kate	243	0.354
Kelsey	241	0.351
Natalie	240	0.35
Alexis	239	0.348
Amy	236	0.344
Morgan	234	0.341
Jackie	233	0.34
Marissa	226	0.329
Jess	219	0.319
Allie	207	0.302
Andrea	207	0.302
Christine	206	0.3
Meghan	205	0.299
Lindsay	203	0.296
Allison	196	0.286
Erica	193	0.281
Caitlin	190	0.277
Molly	185	0.27
Liz	185	0.27
Grace	180	0.262
Carly	179	0.261
Lisa	178	0.259
Julie	175	0.255
Jamie	169	0.246
Heather	166	0.242
Tiffany	164	0.239
Maggie	163	0.238
Brooke	159	0.232
Kaitlyn	158	0.23
Amber	158	0.23
Nikki	157	0.229
Sydney	157	0.229
Dana	157	0.229
Sabrina	155	0.226
Tara	154	0.224
Kimberly	153	0.223
Katherine	152	0.222
Jenny	150	0.219
Claire	150	0.219
Catherine	149	0.217
Vanessa	147	0.214
Jasmine	147	0.214
Angela	145	0.211
Gabrielle	142	0.207
Lindsey	142	0.207
Melanie	142	0.207
Jillian	140	0.204
Paige	139	0.203
Ali	136	0.198
Casey	136	0.198
